Freq.	V(isensa)
5.20536742176783e+001	2.13308725031234e+000,-5.06744872988558e-003
5.24157361543355e+001	2.13308714055772e+000,-5.10269547633368e-003
5.27803164309167e+001	2.13308702927099e+000,-5.13818738020511e-003
5.31474325638614e+001	2.13308691643076e+000,-5.17392614663975e-003
5.35171021914455e+001	2.13308680201535e+000,-5.20991349263689e-003
5.38893430746286e+001	2.13308668600276e+000,-5.24615114713741e-003
5.42641730979079e+001	2.13308656837070e+000,-5.28264085110326e-003
5.46416102701768e+001	2.13308644909656e+000,-5.31938435760794e-003
5.50216727255908e+001	2.13308632815743e+000,-5.35638343191556e-003
5.54043787244380e+001	2.13308620553005e+000,-5.39363985156746e-003
5.57897466540173e+001	2.13308608119087e+000,-5.43115540646714e-003
5.61777950295209e+001	2.13308595511599e+000,-5.46893189896599e-003
5.65685424949249e+001	2.13308582728116e+000,-5.50697114395048e-003
5.69620078238839e+001	2.13308569766185e+000,-5.54527496892884e-003
5.73582099206342e+001	2.13308556623312e+000,-5.58384521411867e-003
5.77571678209009e+001	2.13308543296972e+000,-5.62268373253660e-003
5.81589006928135e+001	2.13308529784604e+000,-5.66179239008475e-003
