Freq.	a	b	gain
6.68070e+003	(-4.60361e+001dB,-8.51884e+001°)	(-9.98868e+001dB,-2.30606e+001°)	(5.38507e+001dB,-6.21277e+001°)
6.72717e+003	(-4.60361e+001dB,-8.51547e+001°)	(-9.95332e+001dB,-2.18784e+001°)	(5.34972e+001dB,-6.32762e+001°)
6.77396e+003	(-4.60360e+001dB,-8.51207e+001°)	(-9.91898e+001dB,-2.07877e+001°)	(5.31538e+001dB,-6.43331e+001°)
6.82108e+003	(-4.60360e+001dB,-8.50870e+001°)	(-9.88563e+001dB,-1.97784e+001°)	(5.28202e+001dB,-6.53086e+001°)
6.86852e+003	(-4.60360e+001dB,-8.50529e+001°)	(-9.85322e+001dB,-1.88431e+001°)	(5.24963e+001dB,-6.62098e+001°)
6.91630e+003	(-4.60359e+001dB,-8.50185e+001°)	(-9.82174e+001dB,-1.79744e+001°)	(5.21815e+001dB,-6.70441e+001°)
6.96440e+003	(-4.60359e+001dB,-8.49841e+001°)	(-9.79113e+001dB,-1.71652e+001°)	(5.18754e+001dB,-6.78189e+001°)
7.01285e+003	(-4.60359e+001dB,-8.49493e+001°)	(-9.76138e+001dB,-1.64108e+001°)	(5.15779e+001dB,-6.85385e+001°)
7.06162e+003	(-4.60359e+001dB,-8.49142e+001°)	(-9.73244e+001dB,-1.57059e+001°)	(5.12885e+001dB,-6.92082e+001°)
7.11074e+003	(-4.60359e+001dB,-8.48786e+001°)	(-9.70426e+001dB,-1.50459e+001°)	(5.10067e+001dB,-6.98328e+001°)
7.16020e+003	(-4.60358e+001dB,-8.48429e+001°)	(-9.67683e+001dB,-1.44269e+001°)	(5.07325e+001dB,-7.04160e+001°)
