time	V(pwm)	V(tri)
5.226860689077246e-003	7.164310e-002	4.489917e+000
5.226898522385008e-003	7.161885e-002	4.491446e+000
5.226974189000535e-003	7.157037e-002	4.494498e+000
5.227010011071656e-003	7.154743e-002	4.495950e+000
5.227041286703694e-003	7.152741e-002	4.497242e+000
5.227067245993830e-003	7.151081e-002	4.498363e+000
5.227096039464020e-003	7.149238e-002	4.499689e+000
5.227130777496523e-003	7.147016e-002	4.501385e+000
5.227165381734459e-003	7.144804e-002	4.503033e+000
5.227215284601264e-003	7.141615e-002	4.505007e+000
5.227268612686911e-003	7.138209e-002	4.506494e+000
5.227321832470940e-003	7.134812e-002	4.507329e+000
5.227410545448414e-003	7.129154e-002	4.507104e+000
5.227587971403362e-003	7.117846e-002	4.503604e+000
5.227594739644087e-003	7.117415e-002	4.503389e+000
5.227608276125536e-003	7.116554e-002	4.502861e+000
5.227635349088435e-003	7.114831e-002	4.501763e+000
5.227657191098793e-003	7.113441e-002	4.500783e+000
5.227672519860292e-003	7.112466e-002	4.499997e+000
5.227684717892294e-003	7.111690e-002	4.499300e+000
5.227700685690418e-003	7.110675e-002	4.498351e+000
5.227706049114102e-003	7.110333e-002	4.498046e+000
5.227714126421402e-003	7.109820e-002	4.497628e+000
5.227723314545703e-003	7.109236e-002	4.497198e+000
5.227733530150501e-003	7.108586e-002	4.496762e+000
5.227744573570481e-003	7.107884e-002	4.496315e+000
5.227760130554897e-003	7.106896e-002	4.495684e+000
5.227776040355504e-003	7.105885e-002	4.495022e+000
5.227799842093492e-003	7.104372e-002	4.494013e+000
5.227825441744462e-003	7.102746e-002	4.492930e+000
5.227926983600383e-003	7.096300e-002	4.488663e+000
5.229402117341800e-003	7.003630e-002	4.426638e+000
5.230877251083216e-003	6.912492e-002	4.364617e+000
5.232352384824632e-003	6.822885e-002	4.302601e+000
5.233827518566049e-003	6.734810e-002	4.240589e+000
5.235302652307465e-003	6.648266e-002	4.178581e+000
5.236777786048881e-003	6.563254e-002	4.116578e+000
5.238252919790297e-003	6.479773e-002	4.054579e+000
5.248018544790297e-003	5.949844e-002	3.644205e+000
5.257784169790297e-003	5.462108e-002	3.233965e+000
5.267549794790297e-003	5.037449e-002	2.823876e+000
5.277315419790297e-003	4.681641e-002	2.413901e+000
5.277372640249281e-003	4.680869e-002	2.411500e+000
5.277601522085219e-003	4.681963e-002	2.401894e+000
5.278517049428969e-003	4.710582e-002	2.363471e+000
5.279737752553968e-003	4.843226e-002	2.312242e+000
5.281461564344593e-003	5.316048e-002	2.239903e+000
5.282718681189892e-003	6.148471e-002	2.187151e+000
5.283660278366597e-003	7.518592e-002	2.147641e+000
5.284400900306927e-003	9.679885e-002	2.116565e+000
